,,,
,"Indoor air pollution death rate
deaths per 100,000 people","Share of population with access to clean fuels for cooking
percent",World region according to OWID
Country or region,2021,2021,2023
Afghanistan,241.7,35.90%,Asia
Africa (WHO),,22.53%,
African Region (WHO),101.9,,
Aland Islands,,,Europe
Albania,20.3,84.50%,Europe
Algeria,0.2,99.70%,Africa
American Samoa,23.3,,Oceania
Americas (WHO),4.9,92.77%,
Andorra,0.1,100.00%,Europe
Angola,64.2,49.80%,Africa
Anguilla,,,North America
Antigua and Barbuda,0.3,100.00%,North America
Argentina,0.3,99.90%,South America
Armenia,4,98.60%,Asia
Aruba,,,North America
Australia,0.1,100.00%,Oceania
Australia and New Zealand (UN),,100.00%,
Austria,0.3,100.00%,Europe
Austria-Hungary,,,Europe
Azerbaijan,10.2,98.60%,Asia
Bahamas,0.3,100.00%,North America
Bahrain,0.5,100.00%,Asia
Bangladesh,191.3,25.90%,Asia
Barbados,0.1,100.00%,North America
Belarus,0.5,99.80%,Europe
Belgium,0.1,100.00%,Europe
Belize,16.4,83.20%,North America
Benin,113.1,5.80%,Africa
Bermuda,0.4,,North America
Bhutan,28.3,89.50%,Asia
Bolivia,23.9,88.70%,South America
Bonaire Sint Eustatius and Saba,,,North America
Bosnia and Herzegovina,29.6,39.90%,Europe
Botswana,19.4,65.60%,Africa
Brazil,3.8,96.40%,South America
British Indian Ocean Territory,,,Asia
British Virgin Islands,,,North America
Brunei,0.5,100.00%,Asia
Bulgaria,6,,Europe
Burkina Faso,97,14.60%,Africa
Burundi,150.1,0.10%,Africa
Cambodia,127.5,46.30%,Asia
Cameroon,129.7,28.40%,Africa
Canada,0,100.00%,North America
Cape Verde,34.5,82.10%,Africa
Cayman Islands,,,North America
Central African Republic,205.3,0.90%,Africa
Central Asia (UN),,85.06%,
Central and Southern Asia (UN),,64.38%,
Chad,192.3,8.00%,Africa
Chile,2.4,100.00%,South America
China,19.1,85.60%,Asia
Christmas Island,,,Asia
Cocos Islands,,,Asia
Colombia,3.5,91.40%,South America
Comoros,73.6,9.00%,Africa
Congo,93.8,37.50%,Africa
Cook Islands,1.7,75.90%,Oceania
Costa Rica,2.4,96.10%,North America
Cote d'Ivoire,107.8,39.35%,Africa
Croatia,1.8,100.00%,Europe
Cuba,2.2,94.90%,North America
Curacao,,,North America
Cyprus,0.1,100.00%,Europe
Czechia,0.3,100.00%,Europe
Czechoslovakia,,,Europe
Democratic Republic of Congo,178.9,4.60%,Africa
Democratic Republic of Vietnam,,,Asia
Denmark,0.1,100.00%,Europe
Djibouti,38.9,9.80%,Africa
Dominica,10.1,87.10%,North America
Dominican Republic,9.1,92.70%,North America
Duchy of Modena and Reggio,,,Europe
Duchy of Parma and Piacenza,,,Europe
East Asia and Pacific (WB),23.5,,
East Germany,,,Europe
East Timor,178.3,16.30%,Asia
Eastern Asia (UN),,85.93%,
Eastern Asia and South-Eastern Asia (UN),,83.22%,
Eastern Mediterranean (WHO),51.2,72.76%,
Ecuador,4.3,94.60%,South America
Egypt,1.4,99.90%,Africa
El Salvador,20.4,92.90%,North America
Equatorial Guinea,8,22.80%,Africa
Eritrea,112.2,12.00%,Africa
Estonia,1.2,100.00%,Europe
Eswatini,62.7,49.50%,Africa
Ethiopia,121,6.50%,Africa
Ethiopia (former),,,Africa
Europe (WHO),,97.35%,
Europe and Central Asia (WB),2.6,,
European Region (WHO),2.6,,
Falkland Islands,,,South America
Faroe Islands,,,Europe
Federal Republic of Central America,,,North America
Fiji,50.4,51.00%,Oceania
Finland,0,100.00%,Europe
France,0.1,100.00%,Europe
French Guiana,,,South America
French Polynesia,,,Oceania
Gabon,5,90.50%,Africa
Gambia,142.2,1.70%,Africa
Georgia,23.2,90.90%,Asia
Germany,0.2,100.00%,Europe
Ghana,127.2,29.90%,Africa
Gibraltar,,,Europe
Grand Duchy of Baden,,,Europe
Grand Duchy of Tuscany,,,Europe
